
LINER INVENTORY / PRODUCTION,,,,,
PLANT NAME,PRODUCTION DATE,QUANTITY,SIZE,CUTTINGS / SEED,NOTES
Pelargonium 'Cy's Sunburst',5/18/2026,180,,,
Oenothera macrocarpa ssp. Incana,5/18/2026,80,,,
Oenothera fruticosa 'African Sun',5/18/2026,500,,,
Myrtus communis ssp. Tarentina,5/18/2026,80,,,
Mimulus 'Burst Orange' (Patented),5/18/2026,250,,,
Lavandula 'Goodwin Creek Grey',5/18/2026,550,,,
Helianthemum 'Belgravia Rose',5/18/2026,300,,,
Hebe buchananii 'Minor' (new),5/18/2026,200,,,
Euphorbia 'Ruby Hybrid',5/18/2026,400,,,
Coprosma 'Tequila Sunrise' (Patented),5/18/2026,150,,,
Convolvulus sabatius,5/18/2026,560,,,
Ceanothus 'Far Horizons',5/18/2026,250,,,
Begonia foliosa var. miniata (new),5/18/2026,60,,,
Santolina chamaecyparissus var. nana,5/11/2026,200,,,
Santolina chamaecyparissus 'Gray Tuft',5/11/2026,600,,,
Salvia apiana x clevelandii,5/11/2026,100,,,
Salvia 'Pink Pong',5/11/2026,230,,,
Pittosporum 'Elfin' (Patented),5/11/2026,1120,,,
Penstemon 'King George V' (new),5/11/2026,100,,,
Pelargonium 'Veronica Contreras',5/11/2026,400,,,
Melianthus major,5/11/2026,400,,,
Malacothamnus palmeri 'Hanging Valley',5/11/2026,170,,,
Heuchera maxima,5/11/2026,180,,,
Festuca glauca 'Elijah Blue',5/11/2026,896,,,
Euphorbia x martinii 'Ascot Rainbow' (Patented),5/11/2026,150,,,
Euphorbia 'Blackbird' (Patented),5/11/2026,1010,,,
Eriophyllum staechadifolium,5/11/2026,400,,,
Eriogonum grande var. rubescens 'Red Ranger',5/11/2026,280,,,
Convolvulus sabatius 'Prime White',5/11/2026,500,,,
Cistus x canescens 'Albus',5/11/2026,330,,,
Stipa ichu,4/6/2026,72,,,
Sesleria 'Greenlee's Hybrid',4/6/2026,1344,,,
Saponaria 'Snow Tip',4/6/2026,170,,,
Muhlenbergia reverchonii,4/6/2026,100,,,
Muhlenbergia dumosa,4/6/2026,168,,,
Lavandula x intermedia 'Phenomenal' (Patented),4/6/2026,230,,,
Lavandula dentata 'Linda Ligon',4/6/2026,400,,,
Lavandula dentata 'La Diva Imperial',4/6/2026,200,,,
Lavandula 'Jennifer',4/6/2026,900,,,
Grevillea lavandulacea 'Tanunda',4/6/2026,100,,,
Erysimum  'Erysistible Magenta',4/6/2026,670,,,
Eriogonum umbellatum,4/6/2026,168,,,
Eriogonum grande var. rubescens,4/6/2026,760,,,
Carex tenuiculmis,4/6/2026,72,,,
Anemanthele lessoniana,4/6/2026,224,,,
Verbena bonariensis 'Cloud 8' (PPAF),4/27/2026,340,,,
Salvia mellifera 'Jade Carpet',4/27/2026,200,,,
Salvia greggii 'Pina Colada',4/27/2026,550,,,
Romneya coulteri,4/27/2026,1000,,,
Pelargonium 'Oldbury Duet',4/27/2026,600,,,
Olea europaea 'Skylark Dwarf',4/27/2026,1200,,,
Lavandula stoechas 'Primavera',4/27/2026,650,,,
Helichrysum petiolare 'Limelight',4/27/2026,200,,,
Euphorbia characias ssp. wulfenii,4/27/2026,300,,,
Ceanothus thyrs. var. gris. 'Diamond Heights',4/27/2026,200,,,
Carex praegracilis,4/27/2026,670,,,
Verbena bonariensis 'Lollipop',4/20/2026,450,,,
Lomandra confertifolia 'Lime Tight'™,4/20/2026,200,,,
Leucadendron 'Safari Sunset',4/20/2026,400,,,
Leucadendron 'Red Gem',4/20/2026,650,,,
Iris x pacifica 'Rio Dorado',4/20/2026,560,,,
Iris 'Nada' (new),4/20/2026,100,,,
Festuca 'Siskiyou Blue',4/20/2026,1400,,,
Carex 'Fine China',4/20/2026,150,,,
Campanula poscharskyana 'Alba',4/20/2026,520,,,
Arctostaphylos manzanita 'Hood Mountain',4/20/2026,130,,,
Arctostaphylos franciscana,4/20/2026,560,,,
Arctostaphylos edmundsii 'Rosy Dawn',4/20/2026,1000,,,
Achillea x kellereri,4/20/2026,600,,,
Achillea millefolium 'Alba',4/20/2026,690,,,
Solanum xanti 'Mountain Pride',4/13/2026,330,,,
Sisyrinchium 'Janet Denman' (new),4/13/2026,1400,,,
Salvia oxyphora,4/13/2026,170,,,
Salvia corrugata,4/13/2026,200,,,
Salvia canariensis,4/13/2026,110,,,
Oenothera 'Twilight' (Patented),4/13/2026,400,,,
Lyonothamnus floribundus ssp. asplenifolius,4/13/2026,350,,,
Lotus 'Red Flash',4/13/2026,450,,,
Hebe x 'Thunderpaws',4/13/2026,166,,,
Hebe pimeleoides 'Quicksilver' (Patented),4/13/2026,280,,,
Halimium ocymoides 'Susan',4/13/2026,150,,,
Cuphea hyssopifolia 'Alba',4/13/2026,500,,,
Cistus 'Victor Reiter',4/13/2026,150,,,
Teucrium betonicum,3/9/2026,180,,,
Salvia leucantha 'Danielle's Dream' (Patented),3/9/2026,120,,,
Salvia clevelandii 'Winnifred Gilman',3/9/2026,350,,,
Salvia 'Christine Yeo',3/9/2026,200,,,
Rosmarinus 'Blue Boy',3/9/2026,150,,,
Mimulus aurantiacus 'Mattole Point',3/9/2026,250,,,
Lonicera 'Mint Crisp',3/9/2026,70,,,
Lavatera 'Red Rum' (Patented),3/9/2026,70,,,
Geranium 'Rozanne' (Patented),3/9/2026,1100,,,
Euphorbia amygdaloides ssp. robbiae,3/9/2026,200,,,
Cistus x bornetianus 'Jester',3/9/2026,250,,,
Ceanothus 'Marie Rose™',3/9/2026,200,,,
Alyogyne 'Ruth Bancroft',3/9/2026,170,,,
Thymus praecox 'Albiflorus',3/30/2026,450,,,
Sedum spurium 'Variegatum',3/30/2026,680,,,
Sedum spathulifolium 'Cape Blanco',3/30/2026,960,,,
Sedum dasyphyllum var. major,3/30/2026,724,,,
Sedum 'Little Missy',3/30/2026,384,,,
Scutellaria suffrutescens,3/30/2026,520,,,
Scabiosa ochroleuca 'Moon Dance',3/30/2026,240,,,
Salvia microphylla 'Syracuse',3/30/2026,450,,,
Oxalis oregana,3/30/2026,250,,,
Orostachys 'Chinese Hat' (new),3/30/2026,512,,,
Origanum vulgare 'Aureum',3/30/2026,300,,,
Lewisia longipetala 'Little Mango',3/30/2026,288,,,
Lewisia cotyledon 'Sunset Strain',3/30/2026,400,,,
