,,,,,
,,,,,
,,,,,
FOUR INCH PRODUCTION,,,,,
PLANT NAME,PRODUCTION DATE,QUANTITY,SIZE,CUTTINGS / SEED,NOTES
Eschscholzia californica var. maritima,4/20/2026,760,"4"" 16 Tray",,
Carex praegracilis,4/27/2026,1100,"4"" 16 Tray",,
Cuphea hyssopifolia 'Pink',4/27/2026,890,"4"" 16 Tray",,
Nepeta racemosa 'Walker's Low',4/27/2026,520,"4"" 16 Tray",,
Santolina virens 'Lemon Fizz',4/27/2026,490,"4"" 16 Tray",,
Erigeron karvinskianus,5/4/2026,570,"4"" 16 Tray",,
Erodium reichardii 'Album',5/4/2026,368,"4"" 16 Tray",,
Hebe vernicosa,5/4/2026,570,"4"" 16 Tray",,
Hesperozygis x satureja 'Sunrise Mojito' (PPAF),5/4/2026,1000,"4"" 16 Tray",,
Nepeta x faassenii 'Blue Wonder',5/4/2026,192,"4"" 16 Tray",,
Rhodanthemum hosmariense,5/4/2026,576,"4"" 16 Tray",,
Santolina virens 'Lemon Fizz',5/4/2026,490,"4"" 16 Tray",,
Saponaria 'Bressingham',5/4/2026,624,"4"" 16 Tray",,
Scabiosa ochroleuca 'Moon Dance',5/4/2026,272,"4"" 16 Tray",,
Scutellaria suffrutescens,5/4/2026,572,"4"" 16 Tray",,
Thymus praecox 'Albiflorus',5/4/2026,448,"4"" 16 Tray",,
Arabis ferdinandi-coburgi 'Old Gold',5/11/2026,440,"4"" 16 Tray",,
Convolvulus sabatius 'Compacta',5/11/2026,432,"4"" 16 Tray",,
Dymondia margaretae,5/11/2026,960,"4"" 16 Tray",,
Erigeron karv. 'Spindrift' (Patented),5/11/2026,520,"4"" 16 Tray",,
Gaura lindheimeri 'White Dove',5/11/2026,820,"4"" 16 Tray",,
Nepeta racemosa 'Walker's Low',5/11/2026,520,"4"" 16 Tray",,
Origanum vulgare 'Aureum',5/11/2026,280,"4"" 16 Tray",,
Phyla nodiflora (white),5/11/2026,900,"4"" 16 Tray",,
Salvia 'Hot Lips',5/11/2026,340,"4"" 16 Tray",,
Salvia lemmonii,5/11/2026,280,"4"" 16 Tray",,
Salvia microphylla 'Syracuse',5/11/2026,450,"4"" 16 Tray",,
Salvia microphylla x greggii 'Glimmer' (Patented),5/11/2026,512,"4"" 16 Tray",,
Satureja douglasii,5/11/2026,288,"4"" 16 Tray",,
Silene uniflora 'Druett's Variegated',5/11/2026,674,"4"" 16 Tray",,
Thymus 'Doone Valley',5/11/2026,304,"4"" 16 Tray",,
Veronica 'Waterperry Blue',5/11/2026,432,"4"" 16 Tray",,
Convolvulus sabatius,5/18/2026,512,"4"" 16 Tray",,
Coprosma 'Lemon and Lime',5/18/2026,320,"4"" 16 Tray",,
Orostachys 'Chinese Hat' (new),5/18/2026,512,"4"" 16 Tray",,
Salvia greggii 'La Luna',5/18/2026,140,"4"" 16 Tray",,
Salvia greggii 'Pina Colada',5/18/2026,512,"4"" 16 Tray",,
Sedum 'Little Missy',5/18/2026,380,"4"" 16 Tray",,
Sedum dasyphyllum var. major,5/18/2026,760,"4"" 16 Tray",,
Sedum hispanicum 'Purpureum',5/18/2026,570,"4"" 16 Tray",,
Sedum spathulifolium 'Cape Blanco',5/18/2026,896,"4"" 16 Tray",,
Sedum spurium 'Variegatum',5/18/2026,640,"4"" 16 Tray",,
Portulacaria afra 'Skyscraper',5/25/2026,160,"4"" 16 Tray",,
Ruschia lineolata 'Nana',5/25/2026,1000,"4"" 16 Tray",,
Sedum album,5/25/2026,500,"4"" 16 Tray",,
Sedum lineare 'Sea Urchin',5/25/2026,500,"4"" 16 Tray",,
Sedum nussbaumerianum,5/25/2026,300,"4"" 16 Tray",,
Sedum spathulifolium 'Tomales Bay',5/25/2026,448,"4"" 16 Tray",,
Sedum spurium 'Dragon's Blood',5/25/2026,500,"4"" 16 Tray",,
