,,,,,
,,,,,
,,,,,
ONE GALLON PRODUCTION,,,,,
PLANT NAME,PRODUCTION DATE,QUANTITY,SIZE,CUTTINGS / SEED,NOTES
Verbena lilacina 'De La Mina',2/9/2026,500,1 gallon,,
Achillea millefolium 'Apple Blossom',2/16/2026,400,1 gallon,,
Achillea millefolium Milly Rock™  'Red',2/16/2026,400,1 gallon,,
Alstroemeria 'Inca Apricot',2/16/2026,200,1 gallon,,
Alstroemeria 'Inca Candy'®,2/16/2026,150,1 gallon,,
Alstroemeria 'Inca Husky',2/16/2026,200,1 gallon,,
Alstroemeria 'Inca Lucky' (Patented),2/16/2026,200,1 gallon,,
Alstroemeria 'Inca Pepper',2/16/2026,250,1 gallon,,
Alstroemeria 'Inca Tirol'®,2/16/2026,200,1 gallon,,
Alyogyne 'Ruth Bancroft',2/16/2026,300,1 gallon,,
Echium 'San Bruno Pink',2/16/2026,130,1 gallon,,
Iris 'Canyon Snow',2/16/2026,500,1 gallon,,
Iris douglasiana,2/16/2026,500,1 gallon,,
Lomandra 'Lime Tough' (Patented),2/16/2026,600,1 gallon,,
Lyonothamnus floribundus ssp. asplenifolius,2/16/2026,300,1 gallon,,
Ribes sanguineum v. glutinosum 'Heart's Delight',2/16/2026,50,1 gallon,,
Rosmarinus officinalis 'Carollina',2/16/2026,120,1 gallon,,
Salvia greggii 'Amethyst Lips',2/16/2026,280,1 gallon,,
Sesleria autumnalis 'Campo Verde',2/16/2026,500,1 gallon,,
Solidago velutina ssp. Californica,2/16/2026,250,1 gallon,,
Trichostema lanatum,2/16/2026,150,1 gallon,,
Abelia x grand. 'Kaleidoscope' (Patented),2/23/2026,500,1 gallon,,
Acacia covenyi,2/23/2026,80,1 gallon,,
Achillea millefolium 'Apple Blossom',2/23/2026,400,1 gallon,,
Arctostaphylos hookeri 'Wayside',2/23/2026,300,1 gallon,,
Bidens Sunshine 'Double Yellow',2/23/2026,200,1 gallon,,
Calandrinia spectabilis,2/23/2026,500,1 gallon,,
Ceanothus thyrs. var. gris. 'Diamond Heights',2/23/2026,400,1 gallon,,
Convolvulus sabatius 'Prime White',2/23/2026,250,1 gallon,,
Cuphea 'La Chiquita',2/23/2026,500,1 gallon,,
Cuphea hyssopifolia 'Pink',2/23/2026,500,1 gallon,,
Erigeron glaucus 'Cape Sebastian',2/23/2026,200,1 gallon,,
Heuchera maxima,2/23/2026,150,1 gallon,,
Juncus effusus var. pacificus 'Quartz Creek',2/23/2026,450,1 gallon,,
Lavandula stoechas 'Primavera' (Patented),2/23/2026,350,1 gallon,,
Lomandra longifolia 'Miner's Gold',2/23/2026,220,1 gallon,,
Mimulus 'Burst Orange' (Patented),2/23/2026,250,1 gallon,,
Myrtus communis 'Compacta Variegata',2/23/2026,500,1 gallon,,
Oenothera fruticosa 'African Sun',2/23/2026,400,1 gallon,,
Pelargonium 'Bronze Little Leaf',2/23/2026,100,1 gallon,,
Rosmarinus 'Roman Beauty' (Patented),2/23/2026,250,1 gallon,,
Rosmarinus officinalis 'Huntington Carpet',2/23/2026,500,1 gallon,,
Salvia clevelandii 'Alpine',2/23/2026,160,1 gallon,,
Teucrium fruticans 'Compactum',2/23/2026,150,1 gallon,,
Agastache  'Kudos™ Silver Blue',3/2/2026,200,1 gallon,,
Asteriscus maritimus,3/2/2026,400,1 gallon,,
Calylophus drummondii,3/2/2026,200,1 gallon,,
Ceanothus arboreus 'Campo Grande',3/2/2026,500,1 gallon,,
Ceanothus gloriosus 'Heart's Desire',3/2/2026,250,1 gallon,,
Echium candicans 'Star of Madeira',3/2/2026,180,1 gallon,,
Erigeron glaucus 'Compacta',3/2/2026,250,1 gallon,,
Eriogonum grande var. rubescens,3/2/2026,260,1 gallon,,
Euphorbia 'Tiny Tim' (Patented),3/2/2026,250,1 gallon,,
Hebe vernicosa,3/2/2026,500,1 gallon,,
Iris x pacifica 'Native Warrior',3/2/2026,500,1 gallon,,
Juniperus communis 'Point Saint George',3/2/2026,300,1 gallon,,
Lavandula pinnata,3/2/2026,220,1 gallon,,
Lavandula stoechas 'Double Anouk',3/2/2026,250,1 gallon,,
Malacothamnus palmeri 'Hanging Valley',3/2/2026,120,1 gallon,,
Myrtus communis 'Compacta',3/2/2026,400,1 gallon,,
